timestamp,temp,humi,vib_x,vib_y,vib_z
11132919,27.74,37.46,-568,-824,16360
11134063,27.75,37.4,-528,-880,16452
11135064,27.75,37.34,-568,-936,16448
11136066,27.76,37.46,-568,-844,16396
11137067,27.77,37.5,-552,-880,16572
11138068,27.77,37.54,-504,-908,16392
11139070,27.75,37.6,-520,-848,16492
11140071,27.75,37.65,-572,-876,16432
11141073,27.77,37.68,-552,-956,16432
11142074,27.77,37.74,-580,-892,16396
11143075,27.78,37.85,-588,-828,16460
11144077,27.78,37.84,-608,-996,16496
11145078,27.75,37.74,-548,-884,16512
11146080,27.75,37.71,-480,-876,16516
11147081,27.79,37.69,-632,-856,16468
11148083,27.76,37.51,-544,-900,16432
11149084,27.78,37.64,-520,-892,16476
11150085,27.76,37.55,-492,-852,16492
11151087,27.77,37.55,-532,-888,16480
11152088,27.74,37.44,-544,-924,16468
11153233,27.76,37.54,-536,-884,16436
11154234,27.76,37.49,-540,-872,16468
11155235,27.75,37.42,-532,-900,16396
11156237,27.76,37.42,-508,-840,16428
11157238,27.75,37.42,-568,-900,16524
11158240,27.76,37.43,-572,-900,16412
11159241,27.75,37.44,-520,-832,16472
11160243,27.75,37.45,-588,-840,16476
11161244,27.76,37.33,-548,-920,16404
11162245,27.76,37.42,-548,-884,16516
11163247,27.77,37.45,-624,-832,16460
11164248,27.74,37.42,-556,-800,16520
11165249,27.73,37.35,-560,-840,16432
11166251,27.74,37.35,-548,-876,16536
11167252,27.75,37.2,-624,-872,16448
11168254,27.75,37.35,-556,-888,16528
11169256,27.74,37.19,-476,-884,16348
11170257,27.75,37.31,-568,-844,16444
11171259,27.71,37.26,-572,-892,16412
11172260,27.73,37.18,-528,-836,16468
11173261,27.73,37.3,-528,-908,16444
11174263,27.71,37.34,-560,-828,16440
11175264,27.72,37.27,-588,-852,16444
11176266,27.73,37.36,-556,-888,16400
11177410,27.73,37.43,-552,-924,16580
11178411,27.75,37.54,-548,-884,16500
11179413,27.74,37.62,-560,-924,16392
11180414,27.75,37.53,-544,-896,16452
11181415,27.75,37.62,-548,-876,16508
11182417,27.77,37.68,-524,-892,16356
11183418,27.79,37.73,-556,-936,16436
11184420,27.79,37.84,-528,-892,16388
11185421,27.79,37.79,-528,-868,16468
11186422,27.8,37.83,-528,-856,16432
11187424,27.79,37.83,-612,-884,16428
11188426,27.81,37.85,-528,-884,16596
11189427,27.8,37.77,-588,-920,16444
11190428,27.79,37.94,-548,-884,16472
11191430,27.82,38.0,-524,-872,16388
11192431,27.82,38.05,-532,-940,16448
11193432,27.81,38.01,-516,-916,16508
11194434,27.82,37.85,-540,-912,16440
11195435,27.83,37.92,-520,-940,16496
11196436,27.82,38.14,-536,-908,16540
11197438,27.81,38.21,-512,-876,16428
11198582,27.82,38.25,-572,-940,16480
11199584,27.83,38.29,-572,-964,16368
11200585,27.82,38.28,-512,-852,16420
11201586,27.83,38.29,-540,-836,16496
11202588,27.83,38.47,-596,-948,16476
11203589,27.85,38.57,-564,-980,16464
11204591,27.83,38.53,-560,-928,16416
11205592,27.83,38.55,-516,-832,16528
11206593,27.84,38.44,-508,-944,16424
11207595,27.82,38.51,-532,-928,16580
11208596,27.82,38.45,-592,-936,16468
11209597,27.85,38.36,-544,-948,16536
11210598,27.84,38.31,-528,-904,16468
11211600,27.83,38.24,-548,-888,16468
11212601,27.84,38.18,-560,-848,16516
11213603,27.83,38.08,-480,-860,16496
11214604,27.83,38.05,-500,-864,16548
11215749,27.83,38.01,-504,-888,16528
11216750,27.83,37.88,-528,-856,16444
11217752,27.83,37.74,-536,-992,16404
11218753,27.82,37.85,-496,-896,16600
11219754,27.84,37.82,-568,-920,16364
11220756,27.82,37.84,-480,-880,16340
11221757,27.84,37.76,-488,-880,16492
11222759,27.81,37.65,-508,-860,16404
11223760,27.83,37.75,-528,-908,16472
11224761,27.83,37.7,-532,-940,16476
11225763,27.81,37.62,-544,-912,16528
11226764,27.81,37.84,-516,-924,16408
11227765,27.81,37.85,-520,-856,16440
11228767,27.82,37.86,-556,-896,16464
11229769,27.8,37.83,-520,-900,16508
11230770,27.81,37.84,-528,-896,16408
11231772,27.79,37.8,-536,-872,16384
11232916,27.8,37.73,-544,-948,16332
11233918,27.8,37.58,-552,-912,16400
11234919,27.8,37.68,-512,-872,16496
11235920,27.78,37.64,-536,-900,16508
11236922,27.78,37.48,-424,-820,16432
11237923,27.8,37.6,-544,-940,16420
